name	ment	party
강효상	문제는 제왕적 대통령제에서 촉발된 정치보복의 악순환에 검찰과 법원 이 두 축이, 우리 헌정의 아주 근본적인 두 축, 그리고 정말 국민의 신뢰를 받아야 되고 신뢰를 받지 못하면 정글 같은 이런 곳으로 변하는, 이런 우리 사회를 지탱해야 될 두 시스템이 정치보복의 악순환의 도구로 이용되고 있다, 하수인으로 이용되고 있다라는 게 제 생각입니다. 여기에 대한, 검사들과 법관들에 이런 시각이 있다는 것에 대해서 정말 잘 생각하셔야 되고 성찰하셔야 된다는 생각입니다. 이것은 제 생각이라기보다도 제가 많은 분들의 의견을 듣고 법원처장님께 전달해 드리는 것입니다. 왜 초대 정말…… 대한민국을 지탱해 온 존경받는 수많은 선배 법관들이 세워 온 법원이 왜 이런 비난과 오욕의 멍에를 쓰고 있는지 우리가 한번 되돌아볼 때가 아닌가 이런 생각입니다. 특별히 우리는 작년에 이어서 또 이명박 전 대통령에 대한 구속심사를 앞두고 있는 시점입니다. 모든 국민들의 시선이 법원을 향해 있다고 생각하는데요. 법원에서도 많은 고민이 있을 거라고 생각합니다. 거의 1년 만에 또 이루어지는 검찰의 전직 대통령에 대한 구속영장 청구에 대해서 법원행정처장님은 어떻게 생각하십니까?	자유한국
강효상	사후에도 보고할……	자유한국
강효상	그리고 전직 대통령들이 도주하려면 벌써 다 도주했겠지요. 도주 안 하고 있지 않습니까? 그런데 굳이 영장을 쳐서 감옥에 집어넣어야 되는지 저는 그것이 안타까운 거지요. 처장님 말씀 듣고 일단 오전 질의는 이것으로 끝내겠습니다.	자유한국
강효상	아니, 수석보좌관회의에서 말씀하시고 다 방송에 나왔지 않습니까?	자유한국
강효상	글쎄, 많은 것은 좋은데 하나도 없는 것은 문제가 있는 것 아닙니까? 다음 인사 때는 꼭 유념해 주세요.	자유한국
강효상	하여튼 그 보도는 보셨지요? 들으셨지요?	자유한국
강효상	없지요? 그 심정을 잘 모르실 겁니다. 와서, 애기들이 자고 있는데 수사관들이 들이닥쳐 가지고 수색한다는 명분하에 옷을 찢는다든지 소파를 찢는다든지 이렇게 해서 온 가족들이 경악하는 경우가 많습니다. 얼마 전에 같은 동료 법조인 변 검사가 극단적인 선택을 한 것 알고 계시지요?	자유한국
강효상	누구 아이디어였습니까?  그럼 총장님 아이디어세요?	자유한국
강효상	알겠습니다. 어마어마합니다. 이런 일 있고 그냥 두고요. 이게 검찰의 어떤 신뢰를, 국민들로부터 신뢰를 찾는 것은 완전히 요원합니다. 자제시키세요. 차한성 대법관도 그만두지 않았습니까? 채동욱 변호사한테 경고를 하세요. 이상입니다.	자유한국
강효상	제가 다시 말씀드리지만 결과적으로 제왕적 대통령제는…… 이번에 검찰의 이명박 전 대통령에 대한 혐의 사실에 따르면 대통령 측이 돈을 요구만 하면 그냥 갖다 줘야 되는 이것이 지금 우리나라의 현실이라는 것 아닙니까, 그 사실이 맞다면? 모든 인허가권, 모든 권력기관의 인사권을 다 독점하는 무소불위의 대통령이기 때문에 재벌총수도, 스님도, 해외교포도 인허가권에 관계되는 모든 사람들이 청와대 말 한마디, 대통령 말 한마디면 그냥 돈을 갖다 주는 게 현실입니다. 그러니까 이 시스템을 고치지 않고는 우리나라가 한발도 나아갈 수 없는 상황인데…… 게다가 어릴 때부터 정말 열심히 공부하고 바르게 살아오고 양심과 독립성에 충실해야 될 법관들조차 이 시류에 휩쓸려서 좋은 게 좋다, 일신의 편안함, 안이함을 좇아서 심각한 고민 없이 영장을 남발하는 현실이 저는 개탄스러운 거예요. 법관은 그만두면 됩니다. 그만두고 권력의 압력이 있으면 사표 내고 나가서 변호사 하시면 돼요. 거기에 목매 가지고 고등판사, 대법관…… 승진하는 게 법관들의 영예가 아닙니다. 판결 하나로써 그 사람이 역사에 남고 평가를 받는 겁니다. 지금 다 죽어 가는 권력…… 다 죽은 권력이지요, 전직 대통령들. 다 죽은 사자를 사냥개들이 물어뜯고 있는 거예요. 검찰은 적극적으로 사냥개가 되어서 물어뜯고 있고 법원은 소극적으로 거기에 동조하는 도구가 되어 있어요. 증거인멸이나…… 저는 MB에 대해서 구속을 하라 마라 하는 입장은 아닙니다. 그러나 많은 선진국에서는 대통령에 대한 여러 가지 위치, 나라의 국격, 이런 것을 생각해서, 미국의 경우도 그렇고, 관용적인……  처사를 해 온 적이 많습니다. 저는 이번 사건의 경우도 영장의 경우 증거인멸이나 도주우려가 전직 대통령의 경우에 없다고 보는데 예를 들면 증거인멸이라는 게 있을 수가 없는 게, 검찰의 주장에 따르면 측근들이 다 불었다는 것 아닙니까? ‘압수수색 어디 가서 뒤져라’, ‘어디 가면 이팔성 메모 있다’, ‘빌딩 지하에 서류 있다’ 다 불었다는 것 아닙니까? 증거가 다 확보되어 있습니다.	자유한국
